distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(270, 280]","(280, 290]"
"(0, 10]",1765,3493,2208,2283,1203,529,409,687,797,1109,2738,2629,2306,1735,2955,2309,5094,4997,8013,1729,767,61,241,100,0,72,25
"(10, 20]",10014,16218,6980,4852,3632,2080,1016,898,3327,3561,11006,10165,9479,6541,7476,9072,14734,15367,18562,5536,1388,570,772,644,273,306,332
"(20, 30]",37144,86041,29021,20073,15593,5239,1995,2615,5216,8195,19852,19612,16298,11921,15772,17573,25293,27132,32450,9210,3356,1189,746,801,321,452,260
"(30, 40]",35584,71512,25845,22436,19946,9064,1808,3723,7973,10446,25926,21010,19935,15096,17412,18342,28122,27625,41063,10439,3015,1004,1086,930,764,583,489
"(40, 50]",29830,61680,21116,17371,16075,5892,1714,4084,9918,11992,25462,25776,19568,16302,18149,20502,26272,29403,39794,12106,4937,1325,1525,861,508,619,429
"(50, 60]",28628,62389,23230,14883,13181,7490,3010,4328,10194,12619,31164,27995,23287,18234,19951,19933,29977,32060,39836,12571,5987,1622,2077,1382,770,903,939
"(60, 70]",28214,58480,24477,17668,14631,7060,1952,3658,9394,13198,30747,30148,24893,17347,19439,20533,25701,26495,35641,10696,5585,1511,1267,1064,836,767,618
"(70, 80]",27115,55580,23620,17839,15960,7222,1399,4255,9460,13397,28667,28262,24051,18146,17813,17290,24008,24031,31321,10341,4125,1666,1268,857,806,876,607
"(80, 90]",32266,66366,27499,19237,18519,6282,2440,5441,10951,14175,28405,29310,24381,17709,18695,18572,22791,22612,29380,9677,3804,1568,1478,1486,665,543,1033
"(90, 100]",41016,91720,39392,25824,18930,8849,2888,5522,14151,17054,38557,34840,29715,21307,21496,19634,27180,25894,35177,10408,4574,1385,1706,1228,955,866,1114
"(100, 110]",37934,85842,42186,26124,22676,11184,5590,6552,12740,17197,39433,32402,30157,23137,21424,20671,26597,25226,32228,9395,4157,1137,1494,915,1097,1001,932
"(110, 120]",35507,79384,37184,23589,16730,8367,4437,5469,12922,13633,35414,27546,25976,18164,20748,17224,21620,21148,27518,8834,4264,1309,1052,678,714,756,766
"(120, 130]",31519,73640,35049,21849,15561,6689,4159,4640,10997,12740,27972,24755,19392,14748,15173,13973,17647,17786,21854,6708,2844,1461,1355,848,502,961,532
"(130, 140]",28180,63515,29282,18312,14437,6324,3220,3988,8964,11290,25645,20833,18171,13400,14395,11665,14943,14920,19104,5807,3345,835,951,467,493,441,478
"(140, 150]",22256,55502,27941,15094,10397,5692,1952,3608,6215,8241,19900,16257,14848,10451,11100,8446,11139,11638,14272,4728,2259,642,723,312,421,359,485
"(150, 160]",20219,48604,22969,13936,10422,4762,2500,2815,5738,6261,15565,12243,10948,8372,8782,7281,9802,9876,13372,4065,1831,422,680,416,349,274,270
"(160, 170]",17183,45355,21790,12680,9011,4036,1669,2239,6139,5417,13823,11040,10173,7400,8043,5731,7990,7797,9633,2768,1578,314,400,415,265,250,390
"(170, 180]",14113,37945,17313,10666,9282,4306,1802,2223,5306,4736,10559,9465,8813,6394,6897,4441,6679,6497,7347,2550,1067,437,415,332,245,174,289
"(180, 190]",10561,28114,13665,8177,7045,3477,1424,1486,3617,3646,8008,7241,6325,4864,4764,3437,4417,4243,5298,1579,895,397,304,191,212,165,281
"(190, 200]",9684,20139,10839,6140,5939,2129,985,1407,2623,2636,6512,5131,5153,3534,3233,2433,3216,2819,3575,1004,659,214,191,255,145,96,240
"(200, 210]",6870,14834,8238,4296,3773,2409,713,1049,2449,2046,4538,4278,3610,2628,2295,1944,2346,2281,2756,935,543,85,104,232,95,78,76
"(210, 220]",5330,10825,5158,2957,3547,1823,681,803,2289,2054,4760,4535,3767,2107,2005,1606,2041,2377,2732,971,464,66,123,47,126,92,54
"(220, 230]",3377,7645,5184,3140,2521,1014,299,620,1775,1434,3512,2761,2189,1337,1296,1012,1238,1226,1707,782,302,163,157,13,12,66,112
"(230, 240]",786,1745,1937,1863,944,575,246,268,627,455,669,646,553,245,362,172,425,330,386,201,143,80,31,5,4,1,25
"(240, 250]",31,335,309,404,225,185,68,187,85,83,97,57,55,45,47,14,73,41,65,21,79,3,3,4,0,0,0
"(250, 260]",8,52,80,87,101,54,44,12,3,38,11,27,1,1,4,2,4,1,6,12,27,0,1,6,0,0,1
"(260, 270]",0,3,48,67,20,47,9,1,0,0,8,7,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0
"(270, 280]",5,0,9,53,0,16,0,0,0,0,0,1,0,0,18,0,0,0,0,2,5,0,0,0,0,0,0
"(280, 290]",0,0,49,17,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"(290, 300]",0,0,1,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
