distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(270, 280]","(280, 290]"
"(0, 10]",3549,6207,3354,1862,1957,332,0,400,480,1303,760,2612,2389,3323,2369,3845,4873,7590,6485,3227,1471,0,221,78,0,101
"(10, 20]",6977,15055,6769,7351,4868,981,322,796,1285,2220,2519,6527,6676,7734,6788,8879,10941,16973,12275,5950,2884,458,511,319,187,234
"(20, 30]",8648,14726,7021,8374,4695,1760,774,981,1612,3634,4757,7840,9342,12007,8067,10516,14002,25302,17944,12597,4331,205,566,511,242,85
"(30, 40]",15888,29511,13339,12122,8397,1674,1772,2629,2943,6378,6581,13428,13662,19173,14745,17856,23319,32771,23973,15363,4678,608,955,165,476,444
"(40, 50]",21561,41101,21492,19006,11432,2550,1759,2860,4133,8264,7978,14768,17269,26812,17898,25103,28484,37979,29079,21100,7229,686,1329,340,529,1061
"(50, 60]",27326,51328,22059,21206,12796,3644,1892,2703,4402,11450,10711,18927,17694,28273,19568,27164,36368,50387,35254,22923,8860,423,2307,694,988,576
"(60, 70]",24026,47437,21760,26263,15549,3150,1438,3305,4735,10286,10689,17178,21049,27967,18925,23915,33687,40969,31662,20895,6781,570,1372,872,581,1086
"(70, 80]",26636,49717,22757,29549,16386,2687,2246,3908,5019,10326,12343,20718,20291,30428,22244,26278,36706,42415,29667,20222,7712,704,2411,689,798,742
"(80, 90]",31218,65378,34119,35117,24088,4202,2861,5196,6443,11572,12067,21457,25200,30622,21711,28321,38452,43966,34419,21513,8405,648,1500,394,753,647
"(90, 100]",32747,76206,36332,44624,26994,5252,3208,5221,5815,13794,12925,23855,24847,31056,25802,30451,34766,45707,31175,22841,7882,679,2191,626,698,863
"(100, 110]",29269,62128,33432,34481,23902,4718,3508,5586,5433,12682,12939,20674,22441,31532,22085,27031,29471,36555,27026,18532,6902,903,1565,815,430,694
"(110, 120]",32475,68505,36283,38674,27323,7488,3960,4586,6112,13490,14801,23166,23169,31022,20485,27080,33848,40582,27326,20052,8153,867,1770,795,1211,796
"(120, 130]",30610,67662,37835,36941,29804,6881,3474,5498,6764,15678,12909,23040,23787,33646,21060,30135,34929,41813,29672,22330,9348,443,1783,704,839,915
"(130, 140]",25805,55991,29993,34532,21241,6671,2960,5339,6301,13948,12065,21664,20866,26838,19192,25500,30112,34771,22334,18450,7940,760,2086,552,773,663
"(140, 150]",26445,54637,27543,31691,22861,6737,2954,5819,6687,15351,13317,21682,21183,28727,18532,23325,28220,33273,22049,14479,6963,575,1857,675,463,678
"(150, 160]",24390,48349,25956,27235,20507,5650,2637,4853,5566,12220,11016,18601,17662,22909,14134,16278,20579,23930,15157,11500,5008,426,1570,400,475,789
"(160, 170]",19713,39943,20594,22716,17321,4518,1937,3142,4838,8640,7637,12406,12906,15564,10069,11963,14637,17359,11451,8599,3950,336,1400,517,154,516
"(170, 180]",19514,33783,17589,22371,14148,3995,1362,2757,2910,6541,5256,9935,9712,11464,7563,9061,10968,11905,7824,5967,3132,292,1103,382,294,214
"(180, 190]",14643,28524,16122,19101,13262,3401,1320,2070,3510,5445,4033,7904,7058,8460,5490,5628,7433,7342,5412,3312,2196,136,558,121,190,175
"(190, 200]",10757,19742,11798,11502,9761,2329,891,1518,1954,3471,2804,5122,3948,5060,3053,3779,4096,4159,3424,2645,1170,44,468,92,91,112
"(200, 210]",4606,12049,8244,5630,5024,1327,790,1273,892,2173,1239,2323,2254,2618,1510,2000,2257,2423,1681,1293,652,77,219,95,36,63
"(210, 220]",2503,5455,4390,3139,2103,742,315,511,508,866,615,987,700,1037,735,821,967,943,571,574,366,31,106,29,18,38
"(220, 230]",763,1348,1470,1299,759,545,85,96,133,304,218,422,183,357,151,245,333,293,107,125,158,0,30,4,3,1
"(230, 240]",102,183,184,283,236,153,24,9,26,32,28,59,77,77,44,67,44,22,21,23,12,5,0,5,0,0
"(240, 250]",2,12,13,100,56,1,0,0,4,23,13,13,6,32,7,19,15,8,0,6,1,0,0,3,0,0
"(250, 260]",0,10,0,32,1,0,0,0,0,0,3,0,0,11,2,3,11,0,0,1,0,0,0,0,0,0
"(260, 270]",0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"(270, 280]",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
