distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(250, 260]","(260, 270]","(270, 280]","(280, 290]","(290, 300]"
"(0, 10]",879,1280,1699,2383,2106,1759,1370,532,777,690,662,734,1883,2369,5990,5523,4376,3115,2137,2200,2357,2531,3204,1202,72,418,460,91,173,57
"(10, 20]",9220,14112,6348,8987,7768,8195,6103,3698,2215,2894,2875,4372,6723,10233,24716,20416,18351,14022,7909,10050,11323,11489,14496,8272,1470,1514,1373,945,797,686
"(20, 30]",8384,15692,7832,13555,11422,8533,7612,3313,5043,3898,6599,6615,11165,13314,35581,25425,22853,18674,13536,13109,14332,15885,17408,11091,2728,2178,1294,1603,1090,950
"(30, 40]",10664,22207,10031,14571,16460,12659,9209,4945,6650,6087,7179,9693,14362,17841,41073,28026,26412,22612,16946,17159,17274,18848,21402,12976,3180,3678,1548,1487,1299,1495
"(40, 50]",13034,24642,11202,16410,17362,13789,11146,6018,5936,6746,8599,9375,15971,17488,43931,31034,26456,26762,18459,17401,18542,20652,20405,13238,3397,3205,1973,2446,1282,1743
"(50, 60]",15300,29573,15212,18796,19910,13828,13052,6303,7596,7126,10227,10383,16250,19556,46923,33024,29101,27508,19838,18780,20304,22805,27530,12837,3748,3023,2453,2198,1562,1717
"(60, 70]",15715,30833,14594,21494,21123,16517,11390,7031,7454,7192,8510,9648,20573,20452,45415,33364,29532,27496,20109,17810,21890,20193,24700,11245,4179,3552,2308,2493,1959,1502
"(70, 80]",15741,29178,15824,19068,17200,14347,10863,6614,6625,6569,8202,9301,15950,18179,37496,27928,24321,22663,18880,17807,18033,20324,22048,11721,3178,3548,1907,1945,989,1394
"(80, 90]",16614,31624,14162,22896,16524,14558,10699,7528,6486,7169,9908,11122,15813,17741,39099,25835,25359,24219,18573,17159,19144,19079,21614,10285,2518,2722,1782,1826,1489,1215
"(90, 100]",16471,33204,13119,19580,16372,16784,10952,6905,6841,7476,8171,10565,15434,17192,37151,25744,24090,22652,18768,15947,16401,18143,18725,10701,2760,2949,1644,1677,1105,1405
"(100, 110]",15376,30505,12968,18246,16670,14173,9653,6570,7140,6189,6562,7989,12701,13118,30040,19858,16820,18967,13936,10934,13700,13163,14724,8089,2158,2940,1318,1411,1299,893
"(110, 120]",17982,33401,15669,18398,15653,14675,11217,6477,6384,6481,6387,6278,11713,11162,23436,16705,15219,14618,11149,10263,10764,11845,13037,6433,1941,2448,1478,1109,831,1170
"(120, 130]",21684,38692,17068,20123,17317,13250,9644,6554,5894,4858,7482,7203,11066,11293,22518,14823,15517,14110,11017,11016,11527,11578,14398,7339,1756,2743,1815,1201,1253,1496
"(130, 140]",23412,33580,16009,19371,16628,14487,9317,5843,5768,5907,5659,5989,8267,10576,22958,13308,13758,13794,9733,9524,10565,10405,11271,6861,1716,1967,1105,1277,708,790
"(140, 150]",22498,33492,11992,17374,15985,14494,9558,5213,5741,5994,5678,6704,9894,9392,19762,14719,13397,13180,10139,9413,9141,10668,10869,5499,1710,1934,1361,1002,985,914
"(150, 160]",22229,31737,10883,16646,14951,13774,10598,5156,5814,5838,6891,7143,9493,9659,20065,12722,12314,13836,9440,9531,9992,10510,11358,6187,1630,2415,1362,1390,1068,950
"(160, 170]",21703,30478,10612,15051,11276,10430,9734,5690,5521,4603,5980,6642,9082,8467,18450,10835,11051,11975,7158,8625,8029,8722,9552,4771,1426,1787,938,930,608,887
"(170, 180]",16170,24902,8662,9876,9952,7550,5508,3738,3884,2578,3875,3956,5618,4967,10020,6699,6463,6821,5227,4410,4791,5686,6340,2771,913,1387,1071,1017,548,336
"(180, 190]",10036,14363,4902,6448,5913,4960,3287,2513,1582,1930,2444,2039,3053,2735,6370,3374,3451,3736,2967,2484,2709,2880,2655,1519,427,778,586,421,185,359
"(190, 200]",5175,7810,2874,3698,3053,3142,1987,1261,1310,1225,1110,1398,1552,1527,3068,1865,1545,1521,1323,1237,1207,1239,1527,548,160,306,233,268,126,146
"(200, 210]",2974,2713,1434,1930,1169,1499,765,579,651,618,749,611,641,856,1969,691,717,856,708,464,636,796,840,334,159,214,56,64,82,115
"(210, 220]",451,881,520,401,539,541,221,209,217,180,164,81,300,248,353,298,229,241,307,213,192,266,244,224,28,11,7,89,14,12
"(220, 230]",163,131,92,97,137,72,95,61,4,12,37,38,96,127,44,67,25,87,58,78,30,74,83,22,5,12,2,5,9,12
"(230, 240]",8,29,9,60,58,18,4,0,3,12,5,0,1,1,10,7,3,7,7,1,6,2,16,2,4,0,0,0,0,18
"(240, 250]",0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(250, 260]",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
