distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(250, 260]","(260, 270]","(270, 280]","(280, 290]"
"(0, 10]",769,3933,1965,1542,2008,1748,95,118,134,204,338,149,287,578,1138,1244,1549,1282,2055,1936,1437,471,299,25,0,19,22,25,3
"(10, 20]",3732,18156,11820,6109,8034,5592,1732,557,553,754,2184,2137,2470,3378,6608,7123,8378,7329,10455,7635,4625,2842,1529,315,0,110,145,190,130
"(20, 30]",8315,42605,28560,12206,17660,13922,3638,2225,1523,2000,2719,4304,5537,7576,14342,14626,17270,18482,23203,18501,10812,5220,2311,363,410,1216,134,545,243
"(30, 40]",12952,60211,43744,23956,30629,22028,7618,1933,2566,2924,6030,8592,7767,12583,19638,22705,25475,25524,28966,25439,14775,8809,3950,1192,904,1091,464,715,564
"(40, 50]",17015,85230,53336,38230,55572,42647,11350,2407,3117,3579,6514,11114,9700,15743,22471,27425,29484,28303,33997,29056,16374,10034,5227,1185,812,1391,705,674,629
"(50, 60]",14885,73272,53683,32425,48898,45505,8740,2259,3442,2580,6920,11275,10832,16943,22357,26242,27078,29386,35484,29943,16880,9616,5228,977,458,1758,766,1038,1232
"(60, 70]",13288,70605,50400,31238,48722,40063,10799,2704,3176,3023,6954,12900,11872,17443,27549,29916,34827,34154,39208,33954,18588,11421,5551,981,797,1543,695,1141,730
"(70, 80]",12577,67906,47214,28512,43942,38659,9943,2830,3313,3712,7272,13772,12968,16269,28799,27141,33519,33681,39283,32336,17899,9584,4418,1171,738,1641,1022,815,742
"(80, 90]",12605,64139,42730,23951,44428,38448,9560,2862,2532,3332,6657,10951,11145,16535,26302,26216,29548,27071,32991,26337,13695,7920,4681,680,817,869,852,699,972
"(90, 100]",12819,61114,41435,22928,38891,34662,8627,2444,2346,2844,6083,10950,8919,11946,21326,22409,24405,21936,25158,20011,11340,6190,3515,746,679,1199,572,474,404
"(100, 110]",12735,62096,38996,24114,39477,31288,8379,2201,1650,3003,5259,9159,8269,11986,16825,17991,19736,17693,20276,15628,8890,5385,2763,548,548,902,722,403,650
"(110, 120]",12492,58411,39538,21530,34663,27996,5976,1857,1960,2600,4469,6753,7079,8987,15873,13923,15885,14256,16445,12596,6642,4533,2853,548,507,718,521,533,299
"(120, 130]",12850,57241,36769,20649,31263,27043,7245,1943,1594,1608,3932,6592,5549,7914,11410,11528,11639,11096,12634,9402,5302,3360,1838,559,281,628,395,371,331
"(130, 140]",10862,47904,33365,20011,25723,23222,6201,1441,1577,1699,3796,5633,4956,6909,10390,9667,10464,9095,10753,7843,4413,2560,1547,275,335,901,265,289,311
"(140, 150]",9652,38430,28131,15280,21694,19401,5794,1380,1780,1657,2364,3969,4174,5672,8194,7386,8205,6673,7828,5558,2936,1901,1192,291,227,595,177,216,186
"(150, 160]",8224,35620,22292,12968,15417,14021,4327,693,1129,893,2492,3942,3085,3909,6807,5600,5377,5015,5546,3713,2123,1236,687,208,245,582,316,158,191
"(160, 170]",7308,29552,17395,11181,15351,12137,4135,1031,917,974,1858,2886,2705,3155,4589,3887,4662,3472,4098,2749,1801,1137,702,215,99,318,227,171,212
"(170, 180]",4929,21479,12974,8216,11526,9211,2406,767,785,756,1189,1655,1418,1875,2973,2846,3003,2108,2376,1588,1069,763,430,39,77,117,90,52,85
"(180, 190]",3403,11890,7125,4579,6495,5743,1481,507,327,540,619,1100,955,1243,1813,1561,1655,1331,1367,1061,515,370,218,57,16,100,79,114,73
"(190, 200]",1536,5994,3582,2237,3344,2680,627,271,298,213,611,696,688,689,990,741,820,725,677,541,374,189,137,24,33,57,30,24,59
"(200, 210]",475,2301,1547,731,1134,1325,272,114,61,91,181,257,375,281,350,373,326,233,294,210,132,77,43,16,12,5,22,0,8
"(210, 220]",281,697,568,446,491,395,122,20,55,33,57,45,73,80,99,101,143,43,86,37,98,31,25,11,0,0,0,1,0
"(220, 230]",70,219,131,101,142,74,70,2,5,13,3,32,41,11,28,17,30,9,17,12,10,9,8,8,0,0,1,0,0
"(230, 240]",13,15,23,42,20,24,34,0,0,1,1,0,19,1,1,0,2,2,1,8,5,0,1,1,0,0,0,0,0
"(240, 250]",0,4,6,6,5,9,11,0,9,0,0,1,6,0,2,1,2,2,4,4,7,3,0,0,0,0,0,0,0
"(250, 260]",0,0,0,2,4,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(260, 270]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(280, 290]",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(290, 300]",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
