distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(250, 260]","(270, 280]"
"(0, 10]",1172,3596,1124,859,2141,580,270,91,264,367,523,578,934,1680,1481,2053,3407,3468,2297,842,40,98,130,29,123,77,33
"(10, 20]",5557,13936,6484,4360,7327,2826,1218,650,889,1324,2357,2062,3163,5536,5661,6710,11169,12659,8632,2040,281,285,472,90,252,214,66
"(20, 30]",14581,45563,22198,14073,22480,8388,3016,967,1780,2973,3663,3734,5958,9857,9769,10981,16946,18208,13696,3284,604,360,971,90,659,538,207
"(30, 40]",17459,54062,27284,20740,35579,12704,5029,1160,2645,3968,6440,6856,8983,14846,14323,16237,21786,24493,15618,3958,1343,629,1480,350,1074,849,400
"(40, 50]",23929,68007,33084,25821,44422,13166,5349,1474,3134,5811,8535,6940,11100,19829,17346,20370,26104,28269,20150,5312,1163,873,1647,436,1802,1145,431
"(50, 60]",21296,66945,34453,26786,46126,16589,6178,2634,4000,7748,10050,8925,13339,20501,20569,24083,32817,33904,22552,6450,1287,861,1867,576,1720,1164,546
"(60, 70]",20426,69644,30976,25144,52229,16488,7289,2116,4694,7400,10780,11190,14499,21524,22540,26217,35089,36293,23136,6340,1377,997,2834,869,1643,830,798
"(70, 80]",19999,64735,29048,26275,46717,17904,6111,1774,4489,6026,11510,10151,13982,21556,23126,25187,31419,34330,20236,5301,1653,739,2399,622,2180,1059,467
"(80, 90]",18357,56365,25948,22206,43526,15716,6971,1613,3297,6830,10583,9722,13996,20480,20207,22989,26908,28200,17288,4508,1290,669,1876,517,1553,1188,581
"(90, 100]",17364,51658,24038,16985,37841,12663,5096,1601,2933,6363,8563,8154,11529,17591,16310,17862,21083,20740,13046,3674,677,603,1436,415,1430,1067,563
"(100, 110]",17821,51455,25042,18871,33597,13471,5099,1453,3102,5057,7610,6848,8996,14683,13537,14436,17181,18041,10768,2623,822,439,1278,451,1266,919,314
"(110, 120]",14903,45547,22449,16280,29191,12219,4382,1575,2068,4449,6314,5620,7163,12146,11095,10664,13514,14003,8062,2285,570,336,1343,417,962,649,224
"(120, 130]",14105,42211,20659,14068,26382,10030,3748,1407,2114,3797,4817,4990,6070,9557,8397,9564,10819,10493,6538,1732,678,268,1409,218,603,387,241
"(130, 140]",13248,40613,19318,12550,23081,8872,3059,967,1460,3256,3557,3980,4924,7903,6975,7239,7287,7477,4623,1136,373,141,902,119,693,295,218
"(140, 150]",11122,30390,14814,9513,21961,8307,2786,689,1405,2896,3172,3177,4012,6391,5288,5546,5720,5665,3365,911,467,151,842,319,609,445,160
"(150, 160]",8490,23344,11965,7525,16908,6731,2595,743,1042,1948,2680,1936,3639,4136,4151,3992,3916,4311,2618,765,254,96,628,146,405,202,144
"(160, 170]",5713,15289,8168,6209,12489,5313,1672,261,654,1200,1789,1540,2013,2566,2351,2490,2431,2717,1633,432,75,52,311,86,180,90,60
"(170, 180]",3689,9510,4251,3332,6983,3402,1100,242,541,783,1059,1070,1138,1587,1427,1624,1779,1736,1070,320,160,34,154,99,187,137,73
"(180, 190]",1960,4994,2837,1677,3431,1868,585,167,268,674,858,640,715,1184,1026,1059,1160,1062,695,226,32,16,84,27,84,53,50
"(190, 200]",1060,2123,1499,974,2504,1123,335,186,190,476,473,375,450,669,691,626,685,727,395,86,44,14,60,48,27,13,27
"(200, 210]",283,1169,1077,541,875,630,305,32,147,124,197,126,194,282,232,217,257,238,167,25,36,3,29,8,4,4,1
"(210, 220]",71,97,513,275,307,316,104,3,30,17,24,22,35,61,30,66,29,56,39,14,3,5,7,0,4,0,0
"(220, 230]",20,40,40,60,129,123,43,0,9,0,6,7,3,6,2,2,2,3,4,1,0,0,0,0,0,0,0
"(230, 240]",0,4,4,0,27,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(240, 250]",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"(250, 260]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"(290, 300]",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
