distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(260, 270]","(270, 280]","(290, 300]"
"(0, 10]",73,393,19,218,434,123,84,0,0,98,48,398,252,779,801,566,732,1048,1535,1434,883,650,169,115,10,48,19,27
"(10, 20]",1025,1488,722,1111,1714,898,73,126,176,540,530,899,811,1217,1812,1681,2684,4831,5578,4330,2906,1646,497,135,148,238,100,260
"(20, 30]",1986,5388,1456,2893,3880,2051,299,219,954,1007,2934,2441,2092,4091,5289,4205,7651,11672,15010,11836,6482,3274,1212,337,23,404,273,618
"(30, 40]",3106,9647,3302,5913,9445,4806,758,613,1235,1585,3076,4711,3807,7386,8775,6568,11904,19652,21056,16442,9620,5417,1953,735,199,1032,390,560
"(40, 50]",4958,13837,5357,9195,13399,6877,1759,420,1595,1837,3351,4723,5029,7958,11429,8348,14952,20970,24727,21712,11832,6806,2347,1459,483,790,383,1049
"(50, 60]",6076,19281,7764,11387,14449,7904,1569,540,2253,2432,4734,5566,5678,10468,12852,10626,16525,26226,27650,22246,12707,6929,2475,1329,167,714,497,938
"(60, 70]",6076,19645,8583,11051,15526,9580,1780,498,1831,2780,6221,8037,6766,11738,14887,11761,18536,26001,30713,22502,13821,8311,2516,1574,369,778,728,887
"(70, 80]",5879,20820,9185,9981,18272,8146,2570,710,2262,2413,6496,7218,8399,12008,14510,11342,17534,27004,29102,20946,13341,7971,2601,1707,225,564,308,814
"(80, 90]",7513,25609,11242,15322,23606,10912,2515,1165,2655,2865,6412,8149,6694,11805,15291,11817,16203,26600,28826,23614,13651,7442,2487,1586,498,579,368,547
"(90, 100]",11283,29801,15441,18253,22245,13873,3243,1169,3123,2348,6462,6637,6015,11021,13598,9338,14478,21343,22038,17438,10143,6431,1839,1180,339,1375,582,1018
"(100, 110]",9472,28772,14944,15736,25265,13543,3044,378,1977,2565,5340,5976,5086,9521,12162,10560,12731,18811,19148,15453,8436,5106,2332,835,455,724,330,648
"(110, 120]",9588,27606,14343,16871,26034,13325,3219,720,2950,3516,6527,6292,6155,10427,12181,10394,12189,18864,20300,14410,8165,5071,2158,1414,366,741,370,757
"(120, 130]",9076,25921,12499,16141,24033,12880,3361,1004,2594,3901,7585,7453,5990,10032,13187,10645,12148,17800,19454,13458,7858,4857,1636,1613,576,1291,615,777
"(130, 140]",9028,28300,17190,21127,30811,18718,3450,618,2989,3316,7652,7265,6404,9943,11782,8762,11779,15518,16542,13006,7430,4896,2102,1244,520,888,672,859
"(140, 150]",9607,24241,13571,17923,25369,15241,2467,837,2169,3091,6672,6634,5374,8960,11551,8106,10383,14285,13829,11569,5948,3273,1147,1319,947,998,407,876
"(150, 160]",8127,25071,11885,17231,23459,13920,1933,825,3049,3419,5479,6353,6467,9002,10291,7923,10097,13056,12765,9000,4955,3242,1243,1074,489,607,306,682
"(160, 170]",5947,22560,9869,14887,22327,12206,1693,710,2729,2383,5838,5965,4741,7740,8998,7203,8469,11192,11305,8115,4909,3009,1181,1045,561,1130,286,744
"(170, 180]",6581,18504,9397,11516,18049,10926,2288,434,2378,1863,4715,4832,4012,6996,7542,5202,5936,8373,7901,5806,2767,1852,1053,702,202,489,158,382
"(180, 190]",4206,18462,10653,13870,16386,8522,1920,394,1841,1939,3459,3938,2869,4664,5550,3741,4092,5459,5025,3883,1920,1498,415,398,175,231,133,162
"(190, 200]",3981,12886,5792,9197,12193,7510,1582,505,1460,1512,2693,2444,2032,3032,3090,2603,2684,3377,2913,2270,1031,694,385,376,131,189,92,194
"(200, 210]",2459,8266,4015,5449,8227,5654,864,219,653,809,1491,1396,1156,1474,1902,1664,1285,1275,1262,835,605,431,219,203,63,157,36,70
"(210, 220]",1012,3369,2262,2929,3758,2641,573,138,262,206,622,858,599,666,559,565,424,459,406,297,182,297,240,91,8,115,14,31
"(220, 230]",183,532,387,851,1478,1368,270,21,72,129,123,216,136,160,154,151,97,158,119,212,55,58,40,14,0,20,0,25
"(230, 240]",32,97,65,119,437,291,14,0,14,11,10,46,32,35,6,39,16,5,24,8,34,26,4,2,0,0,0,0
"(240, 250]",1,1,10,54,47,32,1,0,1,3,4,1,0,0,0,0,0,1,3,1,9,4,0,0,0,0,0,0
"(250, 260]",0,0,1,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"(260, 270]",0,0,1,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"(270, 280]",0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"(280, 290]",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"(290, 300]",0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
