distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.35854858548585483,1626,0.35854858548585483,0.35854858548585483,281.6985832281348
"(0, 10]","(10, 20]",0.42780748663101603,2244,0.42780748663101603,0.42780748663101603,281.6985832281348
"(0, 10]","(20, 30]",0.4005167958656331,774,0.4005167958656331,0.4005167958656331,281.6985832281348
"(0, 10]","(30, 40]",0.1646586345381526,249,0.1646586345381526,0.1646586345381526,281.6985832281348
"(0, 10]","(40, 50]",0.1780821917808219,949,0.1780821917808219,0.1780821917808219,281.6985832281348
"(0, 10]","(50, 60]",0.1475054229934924,922,0.1475054229934924,0.1475054229934924,281.6985832281348
"(0, 10]","(60, 70]",0.17237008871989862,789,0.17237008871989862,0.17237008871989862,281.6985832281348
"(0, 10]","(70, 80]",0.2270363951473137,577,0.2270363951473137,0.2270363951473137,281.6985832281348
"(0, 10]","(80, 90]",0.25170068027210885,147,0.25170068027210885,0.25170068027210885,281.6985832281348
"(0, 10]","(90, 100]",0.26483357452966716,691,0.26483357452966716,0.26483357452966716,281.6985832281348
"(0, 10]","(100, 110]",0.20507084265473527,1341,0.20507084265473527,0.20507084265473527,281.6985832281348
"(0, 10]","(110, 120]",0.25773558368495075,2844,0.25773558368495075,0.25773558368495075,281.6985832281348
"(0, 10]","(120, 130]",0.20301057770545158,2458,0.20301057770545158,0.20301057770545158,281.6985832281348
"(0, 10]","(130, 140]",0.2154377880184332,2604,0.2154377880184332,0.2154377880184332,281.6985832281348
"(0, 10]","(140, 150]",0.2683189655172414,928,0.2683189655172414,0.2683189655172414,281.6985832281348
"(0, 10]","(170, 180]",0.4342105263157895,76,0.4342105263157895,0.4342105263157895,281.6985832281348
"(10, 20]","(0, 10]",0.36253650396328746,2397,0.36253650396328746,0.36253650396328746,281.6985832281348
"(10, 20]","(10, 20]",0.2546201232032854,1948,0.2546201232032854,0.2546201232032854,281.6985832281348
"(10, 20]","(20, 30]",0.3001215066828676,823,0.3001215066828676,0.3001215066828676,281.6985832281348
"(10, 20]","(30, 40]",0.19902912621359223,412,0.19902912621359223,0.19902912621359223,281.6985832281348
"(10, 20]","(40, 50]",0.18922018348623854,872,0.18922018348623854,0.18922018348623854,281.6985832281348
"(10, 20]","(50, 60]",0.19777341191879502,1527,0.19777341191879502,0.19777341191879502,281.6985832281348
"(10, 20]","(60, 70]",0.19970738844184346,1367,0.19970738844184346,0.19970738844184346,281.6985832281348
"(10, 20]","(70, 80]",0.18681318681318682,637,0.18681318681318682,0.18681318681318682,281.6985832281348
"(10, 20]","(80, 90]",0.1541095890410959,292,0.1541095890410959,0.1541095890410959,281.6985832281348
"(10, 20]","(90, 100]",0.23932729624838292,773,0.23932729624838292,0.23932729624838292,281.6985832281348
"(10, 20]","(100, 110]",0.22079373951928452,1789,0.22079373951928452,0.22079373951928452,281.6985832281348
"(10, 20]","(110, 120]",0.21023403411344704,2521,0.21023403411344704,0.21023403411344704,281.6985832281348
"(10, 20]","(120, 130]",0.23310580204778156,2930,0.23310580204778156,0.23310580204778156,281.6985832281348
"(10, 20]","(130, 140]",0.23796423658872076,3635,0.23796423658872076,0.23796423658872076,281.6985832281348
"(10, 20]","(140, 150]",0.26504065040650404,1230,0.26504065040650404,0.26504065040650404,281.6985832281348
"(10, 20]","(170, 180]",0.08571428571428572,35,0.08571428571428572,0.08571428571428572,281.6985832281348
"(20, 30]","(0, 10]",0.4101604278074866,5610,0.4106,0.4176,281.6985832281348
"(20, 30]","(10, 20]",0.43866809881847474,4655,0.43866809881847474,0.43866809881847474,281.6985832281348
"(20, 30]","(20, 30]",0.46254681647940077,1602,0.46254681647940077,0.46254681647940077,281.6985832281348
"(20, 30]","(30, 40]",0.2752941176470588,850,0.2752941176470588,0.2752941176470588,281.6985832281348
"(20, 30]","(40, 50]",0.23367952522255192,1348,0.23367952522255192,0.23367952522255192,281.6985832281348
"(20, 30]","(50, 60]",0.20899470899470898,2268,0.20899470899470898,0.20899470899470898,281.6985832281348
"(20, 30]","(60, 70]",0.25148986889153757,1678,0.25148986889153757,0.25148986889153757,281.6985832281348
"(20, 30]","(70, 80]",0.27323162274618584,721,0.27323162274618584,0.27323162274618584,281.6985832281348
"(20, 30]","(80, 90]",0.30155979202772965,577,0.30155979202772965,0.30155979202772965,281.6985832281348
"(20, 30]","(90, 100]",0.3288364249578415,1186,0.3288364249578415,0.3288364249578415,281.6985832281348
"(20, 30]","(100, 110]",0.3293310463121784,2915,0.3293310463121784,0.3293310463121784,281.6985832281348
"(20, 30]","(110, 120]",0.3124840439111565,3917,0.3124840439111565,0.3124840439111565,281.6985832281348
"(20, 30]","(120, 130]",0.30733302195235873,4282,0.30733302195235873,0.30733302195235873,281.6985832281348
"(20, 30]","(130, 140]",0.33127174333204484,5174,0.3306,0.3452,281.6985832281348
"(20, 30]","(140, 150]",0.3531039936733887,2529,0.3531039936733887,0.3531039936733887,281.6985832281348
"(20, 30]","(170, 180]",0.20212765957446807,94,0.20212765957446807,0.20212765957446807,281.6985832281348
"(30, 40]","(0, 10]",0.5200564971751412,10620,0.516,0.5296,281.6985832281348
"(30, 40]","(10, 20]",0.5160084131806497,8558,0.518,0.5172,281.6985832281348
"(30, 40]","(20, 30]",0.5354662698412699,4032,0.5354662698412699,0.5354662698412699,281.6985832281348
"(30, 40]","(30, 40]",0.3447905477980666,931,0.3447905477980666,0.3447905477980666,281.6985832281348
"(30, 40]","(40, 50]",0.30569708198239925,2159,0.30569708198239925,0.30569708198239925,281.6985832281348
"(30, 40]","(50, 60]",0.2686461647225168,2829,0.2686461647225168,0.2686461647225168,281.6985832281348
"(30, 40]","(60, 70]",0.2648809523809524,2352,0.2648809523809524,0.2648809523809524,281.6985832281348
"(30, 40]","(70, 80]",0.29788961038961037,1232,0.29788961038961037,0.29788961038961037,281.6985832281348
"(30, 40]","(80, 90]",0.30900243309002434,822,0.30900243309002434,0.30900243309002434,281.6985832281348
"(30, 40]","(90, 100]",0.3991507430997877,1884,0.3991507430997877,0.3991507430997877,281.6985832281348
"(30, 40]","(100, 110]",0.37933693138010793,3891,0.37933693138010793,0.37933693138010793,281.6985832281348
"(30, 40]","(110, 120]",0.38163934426229507,6100,0.3802,0.378,281.6985832281348
"(30, 40]","(120, 130]",0.40397350993377484,6795,0.407,0.41,281.6985832281348
"(30, 40]","(130, 140]",0.40869686800894856,7152,0.4084,0.4116,281.6985832281348
"(30, 40]","(140, 150]",0.37779237844940866,3044,0.37779237844940866,0.37779237844940866,281.6985832281348
"(30, 40]","(170, 180]",0.34615384615384615,130,0.34615384615384615,0.34615384615384615,281.6985832281348
"(40, 50]","(0, 10]",0.6055288757542174,16242,0.6004,0.6048,281.6985832281348
"(40, 50]","(10, 20]",0.5760825739859688,12401,0.576,0.5832,281.6985832281348
"(40, 50]","(20, 30]",0.5382571732199788,3764,0.5382571732199788,0.5382571732199788,281.6985832281348
"(40, 50]","(30, 40]",0.35517498138495907,1343,0.35517498138495907,0.35517498138495907,281.6985832281348
"(40, 50]","(40, 50]",0.35804638088545326,2846,0.35804638088545326,0.35804638088545326,281.6985832281348
"(40, 50]","(50, 60]",0.24569429494079656,3716,0.24569429494079656,0.24569429494079656,281.6985832281348
"(40, 50]","(60, 70]",0.30198019801980197,3434,0.30198019801980197,0.30198019801980197,281.6985832281348
"(40, 50]","(70, 80]",0.3590411672746222,1919,0.3590411672746222,0.3590411672746222,281.6985832281348
"(40, 50]","(80, 90]",0.38471177944862156,798,0.38471177944862156,0.38471177944862156,281.6985832281348
"(40, 50]","(90, 100]",0.37425011536686664,2167,0.37425011536686664,0.37425011536686664,281.6985832281348
"(40, 50]","(100, 110]",0.38207869001591993,4397,0.38207869001591993,0.38207869001591993,281.6985832281348
"(40, 50]","(110, 120]",0.41118462114592436,8011,0.411,0.3976,281.6985832281348
"(40, 50]","(120, 130]",0.3982877125286386,8293,0.3996,0.3976,281.6985832281348
"(40, 50]","(130, 140]",0.4105730539753018,7207,0.41,0.4108,281.6985832281348
"(40, 50]","(140, 150]",0.38015647226173543,2812,0.38015647226173543,0.38015647226173543,281.6985832281348
"(40, 50]","(170, 180]",0.36607142857142855,112,0.36607142857142855,0.36607142857142855,281.6985832281348
"(50, 60]","(0, 10]",0.6255391660897811,18779,0.64,0.6444,281.6985832281348
"(50, 60]","(10, 20]",0.611013986013986,18304,0.6188,0.6156,281.6985832281348
"(50, 60]","(20, 30]",0.612225405921681,6282,0.6128,0.6164,281.6985832281348
"(50, 60]","(30, 40]",0.3525271912987844,1563,0.3525271912987844,0.3525271912987844,281.6985832281348
"(50, 60]","(40, 50]",0.37436289500509684,3924,0.37436289500509684,0.37436289500509684,281.6985832281348
"(50, 60]","(50, 60]",0.266951871657754,4675,0.266951871657754,0.266951871657754,281.6985832281348
"(50, 60]","(60, 70]",0.30543046357615894,3775,0.30543046357615894,0.30543046357615894,281.6985832281348
"(50, 60]","(70, 80]",0.37050863275781615,2143,0.37050863275781615,0.37050863275781615,281.6985832281348
"(50, 60]","(80, 90]",0.3509496284062758,1211,0.3509496284062758,0.3509496284062758,281.6985832281348
"(50, 60]","(90, 100]",0.43194070080862534,2968,0.43194070080862534,0.43194070080862534,281.6985832281348
"(50, 60]","(100, 110]",0.391304347826087,5888,0.39,0.3884,281.6985832281348
"(50, 60]","(110, 120]",0.40365594090396895,7987,0.4026,0.4072,281.6985832281348
"(50, 60]","(120, 130]",0.4169220519653564,7505,0.4184,0.4156,281.6985832281348
"(50, 60]","(130, 140]",0.3908254322364752,7172,0.389,0.3984,281.6985832281348
"(50, 60]","(140, 150]",0.3909294155221974,3131,0.3909294155221974,0.3909294155221974,281.6985832281348
"(50, 60]","(170, 180]",0.36134453781512604,119,0.36134453781512604,0.36134453781512604,281.6985832281348
"(60, 70]","(0, 10]",0.61217801895768,28379,0.6108,0.6108,281.6985832281348
"(60, 70]","(10, 20]",0.6010513320855402,25111,0.6016,0.6024,281.6985832281348
"(60, 70]","(20, 30]",0.5797230339219921,7871,0.5742,0.564,281.6985832281348
"(60, 70]","(30, 40]",0.37211796246648793,1865,0.37211796246648793,0.37211796246648793,281.6985832281348
"(60, 70]","(40, 50]",0.37187039764359353,4074,0.37187039764359353,0.37187039764359353,281.6985832281348
"(60, 70]","(50, 60]",0.2493821613120647,4451,0.2493821613120647,0.2493821613120647,281.6985832281348
"(60, 70]","(60, 70]",0.30902238971403234,4511,0.30902238971403234,0.30902238971403234,281.6985832281348
"(60, 70]","(70, 80]",0.40721062618595827,2635,0.40721062618595827,0.40721062618595827,281.6985832281348
"(60, 70]","(80, 90]",0.3822269807280514,1868,0.3822269807280514,0.3822269807280514,281.6985832281348
"(60, 70]","(90, 100]",0.3932898415657036,3219,0.3932898415657036,0.3932898415657036,281.6985832281348
"(60, 70]","(100, 110]",0.3939393939393939,5841,0.3916,0.406,281.6985832281348
"(60, 70]","(110, 120]",0.3845427852348993,9536,0.3756,0.3632,281.6985832281348
"(60, 70]","(120, 130]",0.39262672811059907,8680,0.3996,0.4028,281.6985832281348
"(60, 70]","(130, 140]",0.3811522720117536,9529,0.3756,0.3808,281.6985832281348
"(60, 70]","(140, 150]",0.36747382198952877,3056,0.36747382198952877,0.36747382198952877,281.6985832281348
"(60, 70]","(170, 180]",0.28272251308900526,191,0.28272251308900526,0.28272251308900526,281.6985832281348
"(70, 80]","(0, 10]",0.5946849700809574,22728,0.5994,0.6048,281.6985832281348
"(70, 80]","(10, 20]",0.5641957678826431,23109,0.578,0.57,281.6985832281348
"(70, 80]","(20, 30]",0.529351184346035,5826,0.5266,0.526,281.6985832281348
"(70, 80]","(30, 40]",0.3364674278038952,1489,0.3364674278038952,0.3364674278038952,281.6985832281348
"(70, 80]","(40, 50]",0.3160263066805123,2889,0.3160263066805123,0.3160263066805123,281.6985832281348
"(70, 80]","(50, 60]",0.2582865884752677,3922,0.2582865884752677,0.2582865884752677,281.6985832281348
"(70, 80]","(60, 70]",0.2913513513513514,3700,0.2913513513513514,0.2913513513513514,281.6985832281348
"(70, 80]","(70, 80]",0.3521000893655049,2238,0.3521000893655049,0.3521000893655049,281.6985832281348
"(70, 80]","(80, 90]",0.32564575645756455,1084,0.32564575645756455,0.32564575645756455,281.6985832281348
"(70, 80]","(90, 100]",0.38107324147933286,2758,0.38107324147933286,0.38107324147933286,281.6985832281348
"(70, 80]","(100, 110]",0.38430372148859543,6664,0.3874,0.3928,281.6985832281348
"(70, 80]","(110, 120]",0.3588207094918504,8344,0.352,0.3528,281.6985832281348
"(70, 80]","(120, 130]",0.35767108815588683,8519,0.3626,0.3696,281.6985832281348
"(70, 80]","(130, 140]",0.3587529976019185,8340,0.3632,0.364,281.6985832281348
"(70, 80]","(140, 150]",0.3516483516483517,4004,0.3516483516483517,0.3516483516483517,281.6985832281348
"(70, 80]","(170, 180]",0.3706896551724138,116,0.3706896551724138,0.3706896551724138,281.6985832281348
"(80, 90]","(0, 10]",0.5384559570454216,27564,0.536,0.538,281.6985832281348
"(80, 90]","(10, 20]",0.4968321013727561,28410,0.4924,0.4952,281.6985832281348
"(80, 90]","(20, 30]",0.45252679938744256,7836,0.4552,0.4536,281.6985832281348
"(80, 90]","(30, 40]",0.32605905006418484,1558,0.32605905006418484,0.32605905006418484,281.6985832281348
"(80, 90]","(40, 50]",0.3275862068965517,4408,0.3275862068965517,0.3275862068965517,281.6985832281348
"(80, 90]","(50, 60]",0.2340952905535665,3631,0.2340952905535665,0.2340952905535665,281.6985832281348
"(80, 90]","(60, 70]",0.30026246719160105,3810,0.30026246719160105,0.30026246719160105,281.6985832281348
"(80, 90]","(70, 80]",0.28493150684931506,1825,0.28493150684931506,0.28493150684931506,281.6985832281348
"(80, 90]","(80, 90]",0.28972653362897266,1353,0.28972653362897266,0.28972653362897266,281.6985832281348
"(80, 90]","(90, 100]",0.37415763258130674,3413,0.37415763258130674,0.37415763258130674,281.6985832281348
"(80, 90]","(100, 110]",0.3546686746987952,6640,0.3516,0.3444,281.6985832281348
"(80, 90]","(110, 120]",0.342518837459634,9290,0.3374,0.332,281.6985832281348
"(80, 90]","(120, 130]",0.3562705067444404,10972,0.366,0.3704,281.6985832281348
"(80, 90]","(130, 140]",0.3412172816146326,9513,0.3388,0.3424,281.6985832281348
"(80, 90]","(140, 150]",0.3485622144584789,3721,0.3485622144584789,0.3485622144584789,281.6985832281348
"(80, 90]","(170, 180]",0.40969162995594716,454,0.40969162995594716,0.40969162995594716,281.6985832281348
"(90, 100]","(0, 10]",0.5348452367520403,26589,0.533,0.5432,281.6985832281348
"(90, 100]","(10, 20]",0.47424662434051684,22366,0.466,0.4776,281.6985832281348
"(90, 100]","(20, 30]",0.4543336439888164,6438,0.455,0.4464,281.6985832281348
"(90, 100]","(30, 40]",0.3837555886736215,1342,0.3837555886736215,0.3837555886736215,281.6985832281348
"(90, 100]","(40, 50]",0.33996316758747697,2715,0.33996316758747697,0.33996316758747697,281.6985832281348
"(90, 100]","(50, 60]",0.22015655577299412,3066,0.22015655577299412,0.22015655577299412,281.6985832281348
"(90, 100]","(60, 70]",0.2867066624565835,3167,0.2867066624565835,0.2867066624565835,281.6985832281348
"(90, 100]","(70, 80]",0.3590519415027736,1983,0.3590519415027736,0.3590519415027736,281.6985832281348
"(90, 100]","(80, 90]",0.3275024295432459,1029,0.3275024295432459,0.3275024295432459,281.6985832281348
"(90, 100]","(90, 100]",0.35283018867924526,3180,0.35283018867924526,0.35283018867924526,281.6985832281348
"(90, 100]","(100, 110]",0.3261494252873563,6264,0.3262,0.3184,281.6985832281348
"(90, 100]","(110, 120]",0.32680621201890614,8886,0.3266,0.3348,281.6985832281348
"(90, 100]","(120, 130]",0.31400585453726637,8882,0.312,0.3088,281.6985832281348
"(90, 100]","(130, 140]",0.31962059042950014,9383,0.3232,0.3216,281.6985832281348
"(90, 100]","(140, 150]",0.2873204247345409,3202,0.2873204247345409,0.2873204247345409,281.6985832281348
"(90, 100]","(170, 180]",0.30973451327433627,113,0.30973451327433627,0.30973451327433627,281.6985832281348
"(100, 110]","(0, 10]",0.516700118367557,19431,0.5194,0.5228,281.6985832281348
"(100, 110]","(10, 20]",0.47806770098730605,14180,0.478,0.4916,281.6985832281348
"(100, 110]","(20, 30]",0.43873255040992687,4513,0.43873255040992687,0.43873255040992687,281.6985832281348
"(100, 110]","(30, 40]",0.3447905477980666,931,0.3447905477980666,0.3447905477980666,281.6985832281348
"(100, 110]","(40, 50]",0.24471921689850593,1941,0.24471921689850593,0.24471921689850593,281.6985832281348
"(100, 110]","(50, 60]",0.23260601070399342,2429,0.23260601070399342,0.23260601070399342,281.6985832281348
"(100, 110]","(60, 70]",0.25425134798838656,2411,0.25425134798838656,0.25425134798838656,281.6985832281348
"(100, 110]","(70, 80]",0.27978216473791695,1469,0.27978216473791695,0.27978216473791695,281.6985832281348
"(100, 110]","(80, 90]",0.2411111111111111,900,0.2411111111111111,0.2411111111111111,281.6985832281348
"(100, 110]","(90, 100]",0.31137724550898205,3006,0.31137724550898205,0.31137724550898205,281.6985832281348
"(100, 110]","(100, 110]",0.32131090688399516,5767,0.3212,0.3204,281.6985832281348
"(100, 110]","(110, 120]",0.28310940499040305,8336,0.2856,0.2824,281.6985832281348
"(100, 110]","(120, 130]",0.2935196950444727,8657,0.2926,0.2916,281.6985832281348
"(100, 110]","(130, 140]",0.28773531089560755,8765,0.2838,0.2792,281.6985832281348
"(100, 110]","(140, 150]",0.27464082860006683,2993,0.27464082860006683,0.27464082860006683,281.6985832281348
"(100, 110]","(170, 180]",0.1523809523809524,105,0.1523809523809524,0.1523809523809524,281.6985832281348
"(110, 120]","(0, 10]",0.4808743169398907,16836,0.482,0.468,281.6985832281348
"(110, 120]","(10, 20]",0.42258201357466063,14144,0.4264,0.4348,281.6985832281348
"(110, 120]","(20, 30]",0.45653616456536167,4521,0.45653616456536167,0.45653616456536167,281.6985832281348
"(110, 120]","(30, 40]",0.31986143187066973,866,0.31986143187066973,0.31986143187066973,281.6985832281348
"(110, 120]","(40, 50]",0.2897593204341671,2119,0.2897593204341671,0.2897593204341671,281.6985832281348
"(110, 120]","(50, 60]",0.2392638036809816,2608,0.2392638036809816,0.2392638036809816,281.6985832281348
"(110, 120]","(60, 70]",0.28969031752254015,2551,0.28969031752254015,0.28969031752254015,281.6985832281348
"(110, 120]","(70, 80]",0.3447802197802198,1456,0.3447802197802198,0.3447802197802198,281.6985832281348
"(110, 120]","(80, 90]",0.2973661852166525,1177,0.2973661852166525,0.2973661852166525,281.6985832281348
