distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.7465690759377859,1093,0.7465690759377859,0.7465690759377859,195.39994735942895
"(0, 10]","(10, 20]",0.8312194313189091,12063,0.8266,0.828,195.39994735942895
"(0, 10]","(20, 30]",0.8271367521367521,4680,0.8271367521367521,0.8271367521367521,195.39994735942895
"(0, 10]","(30, 40]",0.833767926988266,1534,0.833767926988266,0.833767926988266,195.39994735942895
"(0, 10]","(40, 50]",0.8623481781376519,1976,0.8623481781376519,0.8623481781376519,195.39994735942895
"(0, 10]","(50, 60]",0.7686350435624395,4132,0.7686350435624395,0.7686350435624395,195.39994735942895
"(0, 10]","(60, 70]",0.8303467082197117,5134,0.831,0.8384,195.39994735942895
"(0, 10]","(70, 80]",0.8124090386824971,13055,0.8088,0.8048,195.39994735942895
"(0, 10]","(80, 90]",0.7978684080827995,16232,0.8004,0.7944,195.39994735942895
"(0, 10]","(90, 100]",0.7910700338453528,7682,0.7846,0.7832,195.39994735942895
"(0, 10]","(100, 110]",0.7461205800050877,3931,0.7461205800050877,0.7461205800050877,195.39994735942895
"(0, 10]","(110, 120]",0.7447973713033954,913,0.7447973713033954,0.7447973713033954,195.39994735942895
"(0, 10]","(120, 130]",0.8016,625,0.8016,0.8016,195.39994735942895
"(10, 20]","(0, 10]",0.7946127946127947,1485,0.7946127946127947,0.7946127946127947,195.39994735942895
"(10, 20]","(10, 20]",0.8478408320144698,13269,0.8484,0.8468,195.39994735942895
"(10, 20]","(20, 30]",0.8143105446118193,6904,0.8128,0.8116,195.39994735942895
"(10, 20]","(30, 40]",0.8563829787234043,2068,0.8563829787234043,0.8563829787234043,195.39994735942895
"(10, 20]","(40, 50]",0.8212141427618412,2998,0.8212141427618412,0.8212141427618412,195.39994735942895
"(10, 20]","(50, 60]",0.7623590633130962,5765,0.763,0.7732,195.39994735942895
"(10, 20]","(60, 70]",0.7622539560015438,7773,0.7668,0.7604,195.39994735942895
"(10, 20]","(70, 80]",0.6887601168526412,20881,0.693,0.6864,195.39994735942895
"(10, 20]","(80, 90]",0.6727363336655677,26086,0.6604,0.6696,195.39994735942895
"(10, 20]","(90, 100]",0.6789175220730744,13931,0.681,0.6908,195.39994735942895
"(10, 20]","(100, 110]",0.6734844025897587,6796,0.667,0.6648,195.39994735942895
"(10, 20]","(110, 120]",0.6595826893353941,2588,0.6595826893353941,0.6595826893353941,195.39994735942895
"(10, 20]","(120, 130]",0.554140127388535,785,0.554140127388535,0.554140127388535,195.39994735942895
"(20, 30]","(0, 10]",0.7355800388852884,1543,0.7355800388852884,0.7355800388852884,195.39994735942895
"(20, 30]","(10, 20]",0.7901998710509349,15510,0.7902,0.7816,195.39994735942895
"(20, 30]","(20, 30]",0.717590195063007,5793,0.7182,0.72,195.39994735942895
"(20, 30]","(30, 40]",0.832468145351581,2119,0.832468145351581,0.832468145351581,195.39994735942895
"(20, 30]","(40, 50]",0.7222669889873757,3723,0.7222669889873757,0.7222669889873757,195.39994735942895
"(20, 30]","(50, 60]",0.6693338295496837,5374,0.6654,0.6644,195.39994735942895
"(20, 30]","(60, 70]",0.627339422069172,6679,0.6308,0.628,195.39994735942895
"(20, 30]","(70, 80]",0.5664612676056338,15904,0.565,0.5536,195.39994735942895
"(20, 30]","(80, 90]",0.5278379651436647,21230,0.5374,0.5416,195.39994735942895
"(20, 30]","(90, 100]",0.539046010975095,11845,0.5476,0.5552,195.39994735942895
"(20, 30]","(100, 110]",0.4866654405002759,5437,0.4868,0.4912,195.39994735942895
"(20, 30]","(110, 120]",0.4777327935222672,1729,0.4777327935222672,0.4777327935222672,195.39994735942895
"(20, 30]","(120, 130]",0.362453531598513,538,0.362453531598513,0.362453531598513,195.39994735942895
"(30, 40]","(0, 10]",0.6212415130940834,2062,0.6212415130940834,0.6212415130940834,195.39994735942895
"(30, 40]","(10, 20]",0.6891815349759275,14124,0.6932,0.6812,195.39994735942895
"(30, 40]","(20, 30]",0.662211827597728,5986,0.659,0.6452,195.39994735942895
"(30, 40]","(30, 40]",0.6971358927483242,1641,0.6971358927483242,0.6971358927483242,195.39994735942895
"(30, 40]","(40, 50]",0.6390298928369994,1773,0.6390298928369994,0.6390298928369994,195.39994735942895
"(30, 40]","(50, 60]",0.5780891134588884,4354,0.5780891134588884,0.5780891134588884,195.39994735942895
"(30, 40]","(60, 70]",0.5118072289156627,4150,0.5118072289156627,0.5118072289156627,195.39994735942895
"(30, 40]","(70, 80]",0.46846486313430447,12494,0.468,0.4524,195.39994735942895
"(30, 40]","(80, 90]",0.4459326096151135,14186,0.4414,0.456,195.39994735942895
"(30, 40]","(90, 100]",0.4142877843790755,6901,0.4168,0.4092,195.39994735942895
"(30, 40]","(100, 110]",0.3961038961038961,3234,0.3961038961038961,0.3961038961038961,195.39994735942895
"(30, 40]","(110, 120]",0.3386880856760375,747,0.3386880856760375,0.3386880856760375,195.39994735942895
"(30, 40]","(120, 130]",0.26119402985074625,402,0.26119402985074625,0.26119402985074625,195.39994735942895
"(40, 50]","(0, 10]",0.6591001216051885,2467,0.6591001216051885,0.6591001216051885,195.39994735942895
"(40, 50]","(10, 20]",0.6949627459721073,15703,0.6936,0.71,195.39994735942895
"(40, 50]","(20, 30]",0.5991242038216561,5024,0.5988,0.5988,195.39994735942895
"(40, 50]","(30, 40]",0.5057369814651368,1133,0.5057369814651368,0.5057369814651368,195.39994735942895
"(40, 50]","(40, 50]",0.48272138228941686,1852,0.48272138228941686,0.48272138228941686,195.39994735942895
"(40, 50]","(50, 60]",0.5584978334135773,4154,0.5584978334135773,0.5584978334135773,195.39994735942895
"(40, 50]","(60, 70]",0.5168798490249529,4769,0.5168798490249529,0.5168798490249529,195.39994735942895
"(40, 50]","(70, 80]",0.4402478255689265,8393,0.4418,0.432,195.39994735942895
"(40, 50]","(80, 90]",0.3921263709281388,12218,0.4006,0.3912,195.39994735942895
"(40, 50]","(90, 100]",0.3571054925893636,5735,0.3562,0.3528,195.39994735942895
"(40, 50]","(100, 110]",0.375,3080,0.375,0.375,195.39994735942895
"(40, 50]","(110, 120]",0.27884615384615385,520,0.27884615384615385,0.27884615384615385,195.39994735942895
"(40, 50]","(120, 130]",0.2711864406779661,295,0.2711864406779661,0.2711864406779661,195.39994735942895
"(50, 60]","(0, 10]",0.6088199265006125,2449,0.6088199265006125,0.6088199265006125,195.39994735942895
"(50, 60]","(10, 20]",0.6437255753365175,13818,0.6462,0.6584,195.39994735942895
"(50, 60]","(20, 30]",0.6135275339185954,5012,0.6138,0.6228,195.39994735942895
"(50, 60]","(30, 40]",0.5052870090634441,1324,0.5052870090634441,0.5052870090634441,195.39994735942895
"(50, 60]","(40, 50]",0.4922349763673194,1481,0.4922349763673194,0.4922349763673194,195.39994735942895
"(50, 60]","(50, 60]",0.4583081570996979,3310,0.4583081570996979,0.4583081570996979,195.39994735942895
