distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.9349547511312217,3536,0.9349547511312217,0.9349547511312217,272.19375970207125
"(0, 10]","(10, 20]",0.9274912756882513,2579,0.9274912756882513,0.9274912756882513,272.19375970207125
"(0, 10]","(20, 30]",0.9447731755424064,1521,0.9447731755424064,0.9447731755424064,272.19375970207125
"(0, 10]","(30, 40]",0.9006211180124224,3059,0.9006211180124224,0.9006211180124224,272.19375970207125
"(0, 10]","(40, 50]",0.9190082644628099,4235,0.9190082644628099,0.9190082644628099,272.19375970207125
"(0, 10]","(50, 60]",0.9160467587672688,2823,0.9160467587672688,0.9160467587672688,272.19375970207125
"(0, 10]","(60, 70]",0.8655970541820095,3802,0.8655970541820095,0.8655970541820095,272.19375970207125
"(0, 10]","(70, 80]",0.8846732911773563,3321,0.8846732911773563,0.8846732911773563,272.19375970207125
"(0, 10]","(80, 90]",0.8780149708899362,3607,0.8780149708899362,0.8780149708899362,272.19375970207125
"(0, 10]","(90, 100]",0.8750471876179691,2649,0.8750471876179691,0.8750471876179691,272.19375970207125
"(0, 10]","(100, 110]",0.9136442141623489,1158,0.9136442141623489,0.9136442141623489,272.19375970207125
"(10, 20]","(0, 10]",0.9744036349867474,13205,0.976,0.9788,272.19375970207125
"(10, 20]","(10, 20]",0.9649952696310312,8456,0.9622,0.9628,272.19375970207125
"(10, 20]","(20, 30]",0.9576041854591376,5543,0.9586,0.9536,272.19375970207125
"(10, 20]","(30, 40]",0.9202572347266881,17105,0.9242,0.9256,272.19375970207125
"(10, 20]","(40, 50]",0.920297107938682,18983,0.9178,0.918,272.19375970207125
"(10, 20]","(50, 60]",0.9089477827341905,15244,0.9082,0.9136,272.19375970207125
"(10, 20]","(60, 70]",0.8968929804372843,17380,0.8992,0.8956,272.19375970207125
"(10, 20]","(70, 80]",0.8970521798057375,17708,0.8844,0.8852,272.19375970207125
"(10, 20]","(80, 90]",0.8948975527724919,22597,0.889,0.8868,272.19375970207125
"(10, 20]","(90, 100]",0.8775046645574754,12327,0.8794,0.8816,272.19375970207125
"(10, 20]","(100, 110]",0.8915343915343915,4158,0.8915343915343915,0.8915343915343915,272.19375970207125
"(10, 20]","(110, 120]",0.9181034482758621,232,0.9181034482758621,0.9181034482758621,272.19375970207125
"(20, 30]","(0, 10]",0.9724513932960249,34666,0.9692,0.97,272.19375970207125
"(20, 30]","(10, 20]",0.9421814957138634,16915,0.9436,0.9396,272.19375970207125
"(20, 30]","(20, 30]",0.9063552043971144,14555,0.902,0.8988,272.19375970207125
"(20, 30]","(30, 40]",0.892248084769145,34069,0.8888,0.8936,272.19375970207125
"(20, 30]","(40, 50]",0.8752901323630888,31882,0.8764,0.8732,272.19375970207125
"(20, 30]","(50, 60]",0.8584100873466336,29423,0.862,0.8576,272.19375970207125
"(20, 30]","(60, 70]",0.8394326346748073,26861,0.8392,0.8292,272.19375970207125
"(20, 30]","(70, 80]",0.8355856558784058,32041,0.8372,0.8376,272.19375970207125
"(20, 30]","(80, 90]",0.8235312868572886,31371,0.8194,0.8268,272.19375970207125
"(20, 30]","(90, 100]",0.8207194977091464,23572,0.8134,0.8036,272.19375970207125
"(20, 30]","(100, 110]",0.7913372859025033,6072,0.7912,0.7864,272.19375970207125
"(20, 30]","(110, 120]",0.8225806451612904,558,0.8225806451612904,0.8225806451612904,272.19375970207125
"(30, 40]","(0, 10]",0.9825092129145812,36362,0.9848,0.9856,272.19375970207125
"(30, 40]","(10, 20]",0.9716250049676112,25163,0.9726,0.9704,272.19375970207125
"(30, 40]","(20, 30]",0.9374215415515943,15932,0.9442,0.9428,272.19375970207125
"(30, 40]","(30, 40]",0.927953236287279,35241,0.9336,0.9316,272.19375970207125
"(30, 40]","(40, 50]",0.9012356680330303,33666,0.9042,0.9076,272.19375970207125
"(30, 40]","(50, 60]",0.8933460009148809,28419,0.892,0.9024,272.19375970207125
"(30, 40]","(60, 70]",0.8810340526381439,32068,0.8768,0.8768,272.19375970207125
