distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.8358300214001835,13084,0.8398,0.848,291.9984276750208
"(0, 10]","(10, 20]",0.8267978030399795,7829,0.827,0.8224,291.9984276750208
"(0, 10]","(20, 30]",0.8261585509291931,4251,0.8261585509291931,0.8261585509291931,291.9984276750208
"(0, 10]","(30, 40]",0.8372837924407431,1561,0.8372837924407431,0.8372837924407431,291.9984276750208
"(0, 10]","(40, 50]",0.8204654599187292,2707,0.8204654599187292,0.8204654599187292,291.9984276750208
"(0, 10]","(50, 60]",0.8186266771902131,6335,0.8186,0.83,291.9984276750208
"(0, 10]","(60, 70]",0.7946820621239226,12298,0.7874,0.7976,291.9984276750208
"(0, 10]","(70, 80]",0.7988818486768543,13415,0.8008,0.798,291.9984276750208
"(0, 10]","(80, 90]",0.7548068283917341,11130,0.7476,0.7444,291.9984276750208
"(0, 10]","(90, 100]",0.7944342347072723,7618,0.7934,0.7868,291.9984276750208
"(0, 10]","(100, 110]",0.7804285536314937,16054,0.789,0.7996,291.9984276750208
"(0, 10]","(110, 120]",0.7231903023624217,14519,0.7366,0.7376,291.9984276750208
"(0, 10]","(120, 130]",0.7071125265392781,9420,0.7072,0.7184,291.9984276750208
"(0, 10]","(130, 140]",0.7590081363812475,2581,0.7590081363812475,0.7590081363812475,291.9984276750208
"(0, 10]","(140, 150]",0.7688442211055276,1194,0.7688442211055276,0.7688442211055276,291.9984276750208
"(0, 10]","(150, 160]",0.8195121951219512,820,0.8195121951219512,0.8195121951219512,291.9984276750208
"(0, 10]","(160, 170]",0.6869009584664537,313,0.6869009584664537,0.6869009584664537,291.9984276750208
"(10, 20]","(0, 10]",0.9007727002552358,28601,0.9014,0.9036,291.9984276750208
"(10, 20]","(10, 20]",0.8979171811970034,24294,0.8988,0.8952,291.9984276750208
"(10, 20]","(20, 30]",0.9040569736736817,12497,0.905,0.8992,291.9984276750208
"(10, 20]","(30, 40]",0.9119699409554483,3726,0.9119699409554483,0.9119699409554483,291.9984276750208
"(10, 20]","(40, 50]",0.8518819388031411,7386,0.85,0.8552,291.9984276750208
"(10, 20]","(50, 60]",0.824365372098069,18436,0.8376,0.8408,291.9984276750208
"(10, 20]","(60, 70]",0.8223901181267614,33354,0.8212,0.8128,291.9984276750208
"(10, 20]","(70, 80]",0.8216111499757843,37166,0.818,0.8216,291.9984276750208
"(10, 20]","(80, 90]",0.7770157084610765,31639,0.7812,0.7672,291.9984276750208
"(10, 20]","(90, 100]",0.7698006531169275,20517,0.7642,0.7648,291.9984276750208
"(10, 20]","(100, 110]",0.7662899018755434,40255,0.7688,0.7772,291.9984276750208
"(10, 20]","(110, 120]",0.7300843759092231,34370,0.7372,0.7248,291.9984276750208
"(10, 20]","(120, 130]",0.7316605467156263,24510,0.7276,0.7284,291.9984276750208
"(10, 20]","(130, 140]",0.7760459392945037,4876,0.7760459392945037,0.7760459392945037,291.9984276750208
"(10, 20]","(140, 150]",0.790039747486556,4277,0.790039747486556,0.790039747486556,291.9984276750208
"(10, 20]","(150, 160]",0.7645739910313901,892,0.7645739910313901,0.7645739910313901,291.9984276750208
"(10, 20]","(160, 170]",0.8829953198127926,641,0.8829953198127926,0.8829953198127926,291.9984276750208
"(20, 30]","(0, 10]",0.9190162248094637,42774,0.9162,0.9172,291.9984276750208
"(20, 30]","(10, 20]",0.910613361889464,33618,0.9024,0.908,291.9984276750208
"(20, 30]","(20, 30]",0.8971780733052221,21581,0.8994,0.8976,291.9984276750208
"(20, 30]","(30, 40]",0.8889239176124422,9516,0.89,0.8868,291.9984276750208
"(20, 30]","(40, 50]",0.8339552238805971,12864,0.8354,0.838,291.9984276750208
"(20, 30]","(50, 60]",0.801565606361829,32192,0.799,0.7936,291.9984276750208
"(20, 30]","(60, 70]",0.7863918559364517,51866,0.7804,0.7956,291.9984276750208
"(20, 30]","(70, 80]",0.7544077992117818,53031,0.7504,0.7476,291.9984276750208
"(20, 30]","(80, 90]",0.7345545091464918,40562,0.7378,0.7408,291.9984276750208
"(20, 30]","(90, 100]",0.7468112244897959,26656,0.7492,0.744,291.9984276750208
"(20, 30]","(100, 110]",0.7256842864585421,49906,0.7286,0.7308,291.9984276750208
"(20, 30]","(110, 120]",0.6999065711616319,48165,0.7014,0.6864,291.9984276750208
"(20, 30]","(120, 130]",0.692805029954327,33718,0.6934,0.6948,291.9984276750208
"(20, 30]","(130, 140]",0.718879019141749,7993,0.7206,0.728,291.9984276750208
"(20, 30]","(140, 150]",0.7093856655290103,5860,0.7118,0.7188,291.9984276750208
"(20, 30]","(150, 160]",0.616871704745167,569,0.616871704745167,0.616871704745167,291.9984276750208
"(20, 30]","(160, 170]",0.7507788161993769,963,0.7507788161993769,0.7507788161993769,291.9984276750208
"(30, 40]","(0, 10]",0.9284138334352322,75238,0.9324,0.9372,291.9984276750208
"(30, 40]","(10, 20]",0.9009783183500794,45384,0.9006,0.9072,291.9984276750208
