distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.9427350427350427,7020,0.9432,0.94,248.2696570489431
"(0, 10]","(10, 20]",0.893657959002442,13513,0.909,0.9044,248.2696570489431
"(0, 10]","(20, 30]",0.9240956992309883,7022,0.9236,0.9188,248.2696570489431
"(0, 10]","(30, 40]",0.8715389568576948,3106,0.8715389568576948,0.8715389568576948,248.2696570489431
"(0, 10]","(40, 50]",0.8772277227722772,2525,0.8772277227722772,0.8772277227722772,248.2696570489431
"(0, 10]","(50, 60]",0.8774104683195593,1452,0.8774104683195593,0.8774104683195593,248.2696570489431
"(0, 10]","(60, 70]",0.9460370994940978,593,0.9460370994940978,0.9460370994940978,248.2696570489431
"(0, 10]","(70, 80]",0.90633608815427,726,0.90633608815427,0.90633608815427,248.2696570489431
"(0, 10]","(80, 90]",0.8464912280701754,684,0.8464912280701754,0.8464912280701754,248.2696570489431
"(0, 10]","(90, 100]",0.8654279279279279,1776,0.8654279279279279,0.8654279279279279,248.2696570489431
"(0, 10]","(100, 110]",0.8445433132687779,3821,0.8445433132687779,0.8445433132687779,248.2696570489431
"(0, 10]","(110, 120]",0.8347043130280124,8996,0.8294,0.828,248.2696570489431
"(0, 10]","(120, 130]",0.8125948406676783,10544,0.8098,0.84,248.2696570489431
"(0, 10]","(130, 140]",0.8151489967944913,8423,0.8144,0.8332,248.2696570489431
"(0, 10]","(140, 150]",0.7930220625962032,9745,0.7886,0.78,248.2696570489431
"(0, 10]","(150, 160]",0.7719854004545141,14521,0.7742,0.7664,248.2696570489431
"(0, 10]","(160, 170]",0.734544184421935,17178,0.7472,0.7316,248.2696570489431
"(0, 10]","(170, 180]",0.7405587405587406,10989,0.7314,0.7376,248.2696570489431
"(0, 10]","(180, 190]",0.7350543478260869,5152,0.7344,0.7292,248.2696570489431
"(0, 10]","(190, 200]",0.7057761732851986,2216,0.7057761732851986,0.7057761732851986,248.2696570489431
"(0, 10]","(200, 210]",0.717896174863388,1464,0.717896174863388,0.717896174863388,248.2696570489431
