distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.884318766066838,2334,0.884318766066838,0.884318766066838,299.89899868578493
"(0, 10]","(10, 20]",0.8207157198535491,8467,0.7784,0.7864,299.89899868578493
"(0, 10]","(20, 30]",0.7561007438340076,7663,0.7628,0.76,299.89899868578493
"(0, 10]","(30, 40]",0.8165115724170843,4191,0.8165115724170843,0.8165115724170843,299.89899868578493
"(0, 10]","(40, 50]",0.7941176470588235,1836,0.7941176470588235,0.7941176470588235,299.89899868578493
"(0, 10]","(50, 60]",0.7549295774647887,710,0.7549295774647887,0.7549295774647887,299.89899868578493
"(0, 10]","(60, 70]",0.6692913385826772,508,0.6692913385826772,0.6692913385826772,299.89899868578493
"(0, 10]","(70, 80]",0.8613037447988904,721,0.8613037447988904,0.8613037447988904,299.89899868578493
"(0, 10]","(80, 90]",0.7342657342657343,286,0.7342657342657343,0.7342657342657343,299.89899868578493
"(0, 10]","(90, 100]",0.8345323741007195,139,0.8345323741007195,0.8345323741007195,299.89899868578493
"(0, 10]","(100, 110]",0.7631578947368421,38,0.7631578947368421,0.7631578947368421,299.89899868578493
"(0, 10]","(110, 120]",0.7235142118863049,387,0.7235142118863049,0.7235142118863049,299.89899868578493
"(0, 10]","(120, 130]",0.8744186046511628,215,0.8744186046511628,0.8744186046511628,299.89899868578493
"(0, 10]","(130, 140]",0.6556016597510373,241,0.6556016597510373,0.6556016597510373,299.89899868578493
"(0, 10]","(140, 150]",0.8035363457760314,509,0.8035363457760314,0.8035363457760314,299.89899868578493
"(0, 10]","(150, 160]",0.7383177570093458,642,0.7383177570093458,0.7383177570093458,299.89899868578493
"(0, 10]","(160, 170]",0.6236673773987207,938,0.6236673773987207,0.6236673773987207,299.89899868578493
"(0, 10]","(170, 180]",0.6498054474708171,1799,0.6498054474708171,0.6498054474708171,299.89899868578493
"(0, 10]","(180, 190]",0.668609492089925,2402,0.668609492089925,0.668609492089925,299.89899868578493
"(0, 10]","(190, 200]",0.5168380007089685,2821,0.5168380007089685,0.5168380007089685,299.89899868578493
"(0, 10]","(200, 210]",0.43564875491481,3815,0.43564875491481,0.43564875491481,299.89899868578493
"(0, 10]","(210, 220]",0.6643167028199566,3688,0.6643167028199566,0.6643167028199566,299.89899868578493
"(0, 10]","(220, 230]",0.17225392296718972,2804,0.17225392296718972,0.17225392296718972,299.89899868578493
"(0, 10]","(230, 240]",0.6765478424015009,2665,0.6765478424015009,0.6765478424015009,299.89899868578493
