distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.5527704485488126,758,0.5527704485488126,0.5527704485488126,295.45608201405054
"(0, 10]","(10, 20]",0.596019643318687,3869,0.596019643318687,0.596019643318687,295.45608201405054
"(0, 10]","(20, 30]",0.6260959257349149,1939,0.6260959257349149,0.6260959257349149,295.45608201405054
"(0, 10]","(30, 40]",0.56550362080316,1519,0.56550362080316,0.56550362080316,295.45608201405054
"(0, 10]","(40, 50]",0.5288461538461539,1976,0.5288461538461539,0.5288461538461539,295.45608201405054
"(0, 10]","(50, 60]",0.46806039488966317,1722,0.46806039488966317,0.46806039488966317,295.45608201405054
"(0, 10]","(60, 70]",0.5212765957446809,94,0.5212765957446809,0.5212765957446809,295.45608201405054
"(0, 10]","(70, 80]",0.591304347826087,115,0.591304347826087,0.591304347826087,295.45608201405054
"(0, 10]","(80, 90]",0.3893129770992366,131,0.3893129770992366,0.3893129770992366,295.45608201405054
"(0, 10]","(90, 100]",0.4626865671641791,201,0.4626865671641791,0.4626865671641791,295.45608201405054
"(0, 10]","(100, 110]",0.41284403669724773,327,0.41284403669724773,0.41284403669724773,295.45608201405054
"(0, 10]","(110, 120]",0.3541666666666667,144,0.3541666666666667,0.3541666666666667,295.45608201405054
"(0, 10]","(120, 130]",0.44086021505376344,279,0.44086021505376344,0.44086021505376344,295.45608201405054
"(0, 10]","(130, 140]",0.44601769911504424,565,0.44601769911504424,0.44601769911504424,295.45608201405054
"(0, 10]","(140, 150]",0.2791327913279133,1107,0.2791327913279133,0.2791327913279133,295.45608201405054
"(0, 10]","(150, 160]",0.39173553719008264,1210,0.39173553719008264,0.39173553719008264,295.45608201405054
"(0, 10]","(160, 170]",0.3375331564986737,1508,0.3375331564986737,0.3375331564986737,295.45608201405054
"(0, 10]","(170, 180]",0.3092369477911647,1245,0.3092369477911647,0.3092369477911647,295.45608201405054
"(0, 10]","(180, 190]",0.36986986986986986,1998,0.36986986986986986,0.36986986986986986,295.45608201405054
"(0, 10]","(190, 200]",0.37791932059447986,1884,0.37791932059447986,0.37791932059447986,295.45608201405054
"(0, 10]","(200, 210]",0.5581896551724138,1392,0.5581896551724138,0.5581896551724138,295.45608201405054
"(0, 10]","(210, 220]",0.36026200873362446,458,0.36026200873362446,0.36026200873362446,295.45608201405054
"(0, 10]","(220, 230]",0.5034246575342466,292,0.5034246575342466,0.5034246575342466,295.45608201405054
"(0, 10]","(230, 240]",0.13636363636363635,22,0.13636363636363635,0.13636363636363635,295.45608201405054
