,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,591,934,2211,2743,2094,2925,2909,2898,3034,3609,3953,3019,3016,2083,1552,1849,658,464,584,191,171,0,0,0,0
2,741,3755,7161,10962,9262,9127,8973,10676,9911,9092,9851,9778,8762,6411,5837,3852,2988,1681,803,609,163,1,19,0,0
3,823,1466,4864,9270,9164,8530,7080,7410,6998,5828,6627,7515,5372,3404,3178,3483,1708,956,843,398,64,42,0,0,0
4,584,2338,3380,5993,5924,6074,5284,5309,4224,4914,3951,4352,3430,2823,1545,1505,1255,545,143,3,104,8,0,0,0
5,495,801,1529,3644,2927,3391,2794,1976,2618,2409,2189,2383,2372,1059,1037,916,666,381,227,80,121,35,1,0,0
6,666,618,1637,1945,2346,2449,1478,1645,1696,1754,1250,1349,1635,1174,672,335,411,133,96,115,92,87,11,0,0
7,1143,2345,4217,5967,7444,7587,6563,5364,4481,5916,3757,4431,2008,2023,819,987,412,605,133,154,270,89,53,0,0
8,1494,3005,4738,7348,8258,8924,5778,6221,5940,4980,4081,3824,2969,2321,1795,1080,611,321,178,275,112,131,30,0,0
9,1033,1483,1941,3832,3286,2988,1765,2837,1935,2486,2120,1212,1107,1137,671,456,300,253,22,124,43,48,25,0,0
10,1658,2028,4543,6413,6230,5774,5371,3616,3235,4249,3390,2765,3102,2191,1412,1059,613,248,251,119,96,148,24,0,0
11,1725,3584,7864,6808,8184,7790,5967,4557,4865,4735,4430,3510,3193,1997,1281,830,565,427,237,127,153,59,15,0,0
12,2564,5316,8604,12574,13451,12421,9608,7431,7705,6559,5850,5068,3957,2447,1558,1531,654,494,299,409,128,116,63,0,0
13,4891,8473,14225,21427,19800,19099,15885,14476,11613,11163,9054,8144,6463,4471,2658,1758,1047,680,484,269,284,115,49,0,0
14,6880,14112,21494,28221,25155,22328,19749,16666,14156,12431,11718,9779,7811,4497,2907,2335,1363,760,370,452,374,205,31,0,0
15,13256,22764,37338,46725,41934,40385,35304,27259,24126,21245,19262,16860,13748,8242,5651,3947,2143,1079,526,487,212,156,83,0,0
16,15647,26143,45174,56601,48796,49715,40930,30798,25828,24897,20512,19978,14706,9292,5196,3800,2236,1022,561,447,388,231,24,0,0
17,9574,19594,27870,32736,27147,27766,24336,18098,13605,12942,12290,9746,8600,5344,2339,2097,1205,518,391,332,241,111,59,0,0
18,3715,5342,11123,11292,11052,9706,8121,6384,5279,4859,3916,3702,2863,2178,861,780,499,209,126,113,49,74,24,0,0
